投票人       第一选票     第二选票     第三选票     第四选票     第五选票    
于莹明东     阎雪英       赵阳梅丹     彭俊         苏超鑫       夏杰浩      
钱飞文       周涛         蒋娜鑫       黎飞涛       阎雪英       孔敏        
蒋成         吕倩慧       宋鹏鑫       刘敏军       马诚博       周涛        
罗艳杰强     曹璐静       梁芳婷       徐莹         赖倩帆       刘阳慧婷    
罗伟晶       赵峰磊       宋鹏鑫       董锋慧       段蕾宁       王建        
范博         刘敏军       王浩芸薇     周涛         文霞鹏媛     杨琪鹏兰    
郑超秀英     夏晶璐       陆锋璐       王浩芸薇     石刚浩       阎雪英      
邓敏         赵峰磊       马宏翔       王健         毛鹏勇       周涛        
孙龙阳       潘芳成       石刚浩       蒋娜鑫       王建         刘敏军      
陆莹林       吕倩慧       崔锋倩       彭俊         乔娜健       周涛        
石浩娜       蒋娜鑫       周涛         夏晶璐       黎飞涛       文霞鹏媛    
石蕾文       赖倩帆       蒋娜鑫       金瑞         邓阳浩       高晶明      
何琪         陆锋璐       苏超鑫       赖倩帆       赵阳梅丹     赵峰磊      
丁敏珍       王浩芸薇     苏超鑫       高晶明       乔娜健       彭俊        
谭鹏洋       张飞丽       王浩芸薇     潘鹏东       彭欣晶       彭俊        
武艳杰       宋鹏鑫       阎雪英       唐鑫欣       赵凯蕾       高晶明      
万鑫璐       赵阳梅丹     刘阳慧婷     陆锋璐       徐莹         王健        
朱璐磊       夏杰浩       彭俊         潘鹏东       赵峰磊       郑欣        
曾建艳       金瑞         文霞鹏媛     王健         黎飞涛       王建        
贺慧         苏超鑫       邹超         赵阳梅丹     唐鑫欣       刘阳慧婷    
乔浩强       夏晶璐       曹璐静       文霞鹏媛     金瑞         乔娜健      
萧红帆       陆锋璐       于林刚       王浩芸薇     毛鹏勇       乔娜健      
谭杰凯       石刚浩       刘敏军       乔娜健       邓阳浩       马宏翔      
顾鹏敏       李文阳       毛鹏勇       赵凯蕾       蒋娜鑫       黎飞涛      
丁成鹏佳     张飞丽       梁芳婷       段蕾宁       彭俊         石刚浩      
汪建         程阳丽博     赵峰磊       蒋娜鑫       康超红       王建        
潘超         崔锋倩       周涛         刘阳慧婷     邓阳浩       马宏翔      
吕旭英       宋鹏鑫       蒋娜鑫       梁芳婷       王健         康超红      
高文刚       于林刚       毛鹏勇       潘芳成       邹超         刘阳慧婷    
邱涛晶       孔敏         赖倩帆       黎飞涛       康蕾波       于林刚      
龙宇欣       吕倩慧       于林刚       赵阳梅丹     黎飞涛       孔敏        
魏诚         熊敏         乔娜健       孔敏         苏超鑫       宋鹏鑫      
邱晶欣       赖倩帆       董锋慧       阎雪英       马诚博       毛鹏勇      
冯倩宁       蒋娜鑫       彭俊         高晶明       马诚博       王建        
叶华婷       马诚博       程阳丽博     毛鹏勇       赵阳梅丹     吕倩慧      
宋波文飞     陆锋璐       彭俊         毛鹏勇       蒋娜鑫       唐鑫欣      
邹东伟       董锋慧       赵凯蕾       文霞鹏媛     曹璐静       刘敏军      
孟芳媛       乔娜健       金瑞         刘阳慧婷     赵阳梅丹     董锋慧      
唐蕾         夏晶璐       石刚浩       黎飞涛       邓阳浩       王健        
崔薇敏蕾     宋鹏鑫       梁芳婷       陆锋璐       董锋慧       唐鑫欣      
董静健       赵凯蕾       阎雪英       黎飞涛       王浩芸薇     董锋慧      
曾宏敏明     阎雪英       徐莹         王健         彭欣晶       崔锋倩      
沈宏浩       夏杰浩       潘鹏东       王健         王建         赖倩帆      
毛红婷       程阳丽博     徐莹         段蕾宁       梁芳婷       崔锋倩      
崔涛         潘芳成       赵阳梅丹     熊敏         于林刚       毛鹏勇      
夏媛         杨琪鹏兰     李文阳       王浩芸薇     郑欣         王建        
蔡洋蕾       苏超鑫       夏杰浩       邓阳浩       金瑞         康蕾波      
蒋杰静媛     王建         马诚博       宋鹏鑫       高晶明       刘敏军      
吴慧梅       程阳丽博     赵凯蕾       邓阳浩       徐莹         邹超        
沈彬艳       刘阳慧婷     金瑞         邹超         董锋慧       潘芳成      
康鑫杰       唐鑫欣       崔锋倩       石刚浩       黎飞涛       康超红      
曹晶媛       曹璐静       崔锋倩       马宏翔       刘敏军       熊敏        
邵博霞       董锋慧       赵峰磊       宋鹏鑫       乔娜健       崔锋倩      
秦宁慧       邓阳浩       刘敏军       黎飞涛       潘鹏东       赖倩帆      
薛博宏       于林刚       蒋娜鑫       王建         金瑞         刘敏军      
萧佳佳       彭欣晶       刘阳慧婷     董锋慧       曹璐静       唐鑫欣      
曹建         邹超         石刚浩       赵阳梅丹     高晶明       阎雪英      
胡亮翔       乔娜健       邓阳浩       蒋娜鑫       刘敏军       康蕾波      
武晶         彭俊         文霞鹏媛     马诚博       夏杰浩       孔敏        
阎芳红       杨琪鹏兰     刘敏军       高晶明       苏超鑫       于林刚      
魏超峰       杨琪鹏兰     石刚浩       高晶明       周涛         马诚博      
姜彬         赖倩帆       马宏翔       梁芳婷       夏杰浩       邹超        
秦凯         高晶明       董锋慧       康蕾波       崔锋倩       王健        
史军明       徐莹         赵峰磊       康蕾波       郑欣         程阳丽博    
徐丽         高晶明       郑欣         潘芳成       崔锋倩       孔敏        
魏婷宏昊     张飞丽       蒋娜鑫       潘芳成       石刚浩       刘敏军      
郭昊佳       梁芳婷       金瑞         高晶明       王建         康超红      
刘兰勇       段蕾宁       邹超         苏超鑫       于林刚       蒋娜鑫      
程敏超       程阳丽博     郑欣         刘阳慧婷     金瑞         刘敏军      
余明         高晶明       赵凯蕾       王健         康超红       黎飞涛      
尹敏亮瑞     康蕾波       赵阳梅丹     徐莹         高晶明       张飞丽      
孙兰         乔娜健       夏杰浩       杨琪鹏兰     王健         陆锋璐      
萧林敏       陆锋璐       杨琪鹏兰     乔娜健       康蕾波       刘阳慧婷    
袁娜媛       程阳丽博     黎飞涛       高晶明       石刚浩       徐莹        
梁敏雪       金瑞         唐鑫欣       宋鹏鑫       杨琪鹏兰     刘敏军      
万琪敏       孔敏         潘鹏东       梁芳婷       王健         陆锋璐      
黎强婷       王建         周涛         熊敏         夏杰浩       刘敏军      
蒋婷飞       陆锋璐       邹超         蒋娜鑫       高晶明       潘芳成      
崔俊         高晶明       蒋娜鑫       郑欣         曹璐静       赵峰磊      
易霞倩       董锋慧       张飞丽       曹璐静       陆锋璐       邹超        
卢军霞       潘芳成       阎雪英       徐莹         李文阳       于林刚      
陆诚         金瑞         吕倩慧       文霞鹏媛     于林刚       赵凯蕾      
江勇婷       夏杰浩       潘芳成       邹超         康超红       马诚博      
